,CID,tsne_1,tsne_2,link,image
4089,22893872,30.925219,0.45972782,https://pubchem.ncbi.nlm.nih.gov/compound/22893872,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/22893872.png
4090,90206878,-56.518246,-18.059685,https://pubchem.ncbi.nlm.nih.gov/compound/90206878,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/90206878.png
4091,597209,5.3959618,-68.42876,https://pubchem.ncbi.nlm.nih.gov/compound/597209,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/597209.png
4092,131554924,34.22199,-24.280918,https://pubchem.ncbi.nlm.nih.gov/compound/131554924,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/131554924.png
4093,150825360,-2.5029895,-61.112804,https://pubchem.ncbi.nlm.nih.gov/compound/150825360,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/150825360.png
4094,170922,22.93185,-4.9854383,https://pubchem.ncbi.nlm.nih.gov/compound/170922,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/170922.png
4095,151280550,68.9424,-0.839855,https://pubchem.ncbi.nlm.nih.gov/compound/151280550,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/151280550.png
4096,44119258,-3.0614765,37.115913,https://pubchem.ncbi.nlm.nih.gov/compound/44119258,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/44119258.png
4097,140826859,-22.71513,32.94816,https://pubchem.ncbi.nlm.nih.gov/compound/140826859,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/140826859.png
4098,134369510,16.199886,-19.372347,https://pubchem.ncbi.nlm.nih.gov/compound/134369510,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/134369510.png
4099,152542447,15.267701,20.949348,https://pubchem.ncbi.nlm.nih.gov/compound/152542447,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/152542447.png
4100,63677145,17.372776,51.332813,https://pubchem.ncbi.nlm.nih.gov/compound/63677145,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/63677145.png
