,cid,CanonicalSMILES,overall_score,tsne_1,tsne_2,image,link
20445,20445,CC1=NC(=CC=C1)C2=CC=CC(=N2)C,0.41048216554891326,5.3204317,-7.560259,https://upconverting.blob.core.windows.net/redox-components/20445.png,https://pubchem.ncbi.nlm.nih.gov/compound/20445
146680243,146680243,C1=CN=CC=C1CP(=O)(O)O.O,0.4125700210433277,-32.493614,35.225964,https://upconverting.blob.core.windows.net/redox-components/146680243.png,https://pubchem.ncbi.nlm.nih.gov/compound/146680243
121235094,121235094,CCCC[N+]1=CC=C(C=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.41376521411458544,8.920272,4.324351,https://upconverting.blob.core.windows.net/redox-components/121235094.png,https://pubchem.ncbi.nlm.nih.gov/compound/121235094
13158416,13158416,CCCCCCC[N+]1=CC=C(C=C1)C2=CC=NC=C2.[Br-],0.41443026777956093,-26.62545,37.398067,https://upconverting.blob.core.windows.net/redox-components/13158416.png,https://pubchem.ncbi.nlm.nih.gov/compound/13158416
142053,142053,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)I)C=CC=C4C2=O,0.4144766609437563,52.128918,19.126303,https://upconverting.blob.core.windows.net/redox-components/142053.png,https://pubchem.ncbi.nlm.nih.gov/compound/142053
26343,26343,CCCCCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,0.4150147810469292,53.947083,27.153364,https://upconverting.blob.core.windows.net/redox-components/26343.png,https://pubchem.ncbi.nlm.nih.gov/compound/26343
4980025,4980025,C1=CN=CC=C1C2=NN=C(N=N2)C3=CC=NC=C3,0.41501705140722983,-25.114216,23.789621,https://upconverting.blob.core.windows.net/redox-components/4980025.png,https://pubchem.ncbi.nlm.nih.gov/compound/4980025
14905392,14905392,C1CCC(CC1)C(=O)C2=CC=C(C=C2)F,0.41858185670035647,62.566807,-25.64831,https://upconverting.blob.core.windows.net/redox-components/14905392.png,https://pubchem.ncbi.nlm.nih.gov/compound/14905392
66534,66534,C1=CC2=C(C=C1S(=O)(=O)O)C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)O,0.41957199047506666,49.22767,25.861761,https://upconverting.blob.core.windows.net/redox-components/66534.png,https://pubchem.ncbi.nlm.nih.gov/compound/66534
6708,6708,C1=CC2=C(C(=C1)Cl)C(=O)C3=C(C2=O)C=CC=C3Cl,0.41985257758653216,45.279175,23.765633,https://upconverting.blob.core.windows.net/redox-components/6708.png,https://pubchem.ncbi.nlm.nih.gov/compound/6708
73755,73755,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C(=C2F)F)F)F)F,0.42047566402178504,61.239857,-21.081833,https://upconverting.blob.core.windows.net/redox-components/73755.png,https://pubchem.ncbi.nlm.nih.gov/compound/73755
14589,14589,C1CC2=CC=CC=C2C(=O)C3=CC=CC=C31,0.42110064078415327,41.073784,15.653134,https://upconverting.blob.core.windows.net/redox-components/14589.png,https://pubchem.ncbi.nlm.nih.gov/compound/14589
948572,948572,C1=CC=C(C=C1)C=CC(=O)C2C(=O)C3=CC=CC=C3C2=O,0.42152509241136765,57.19512,-1.4838929,https://upconverting.blob.core.windows.net/redox-components/948572.png,https://pubchem.ncbi.nlm.nih.gov/compound/948572
948573,948573,C1=CC=C(C=C1)C=CC(=O)C2C(=O)C3=CC=CC=C3C2=O,0.42152509241136765,57.19512,-1.4838929,https://upconverting.blob.core.windows.net/redox-components/948573.png,https://pubchem.ncbi.nlm.nih.gov/compound/948573
68887215,68887215,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CN=C2C)C,0.42161275505138485,-23.748857,-25.09901,https://upconverting.blob.core.windows.net/redox-components/68887215.png,https://pubchem.ncbi.nlm.nih.gov/compound/68887215
75374,75374,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)Cl)C(=O)Cl,0.4217852790761645,44.973354,-19.340277,https://upconverting.blob.core.windows.net/redox-components/75374.png,https://pubchem.ncbi.nlm.nih.gov/compound/75374
61715,61715,CC(C)CC1=CN=CC=C1,0.42232798581439,-59.729813,-2.415596,https://upconverting.blob.core.windows.net/redox-components/61715.png,https://pubchem.ncbi.nlm.nih.gov/compound/61715
49853417,49853417,C1CC(C1)(C2=CC=NC=C2)N,0.4226508021230314,-29.190578,26.208914,https://upconverting.blob.core.windows.net/redox-components/49853417.png,https://pubchem.ncbi.nlm.nih.gov/compound/49853417
4456634,4456634,CCC1CCC(CC1)C2=CC=C(C=C2)C(=O)C,0.4228807796296233,49.89667,-32.058174,https://upconverting.blob.core.windows.net/redox-components/4456634.png,https://pubchem.ncbi.nlm.nih.gov/compound/4456634
