,CID,smiles,tsne_1,tsne_2,image,link
53,138415286,CCOC(CN(CCC(C)C)C1=CC=C(C=C1)C)OCC,-38.540726,-45.16262,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415286.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415286
54,3468,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C,-41.98331,-9.770549,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/3468.png,https://pubchem.ncbi.nlm.nih.gov/compound/3468
55,4198037,CC(C)C(C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])NC(=O)C(CC2=CC=CC=C2)N,-56.870403,58.033413,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/4198037.png,https://pubchem.ncbi.nlm.nih.gov/compound/4198037
56,138415791,CCOC(=O)CN(CC1=CC(=CC=C1)F)C2=CC=C(C=C2)C,45.419106,-59.6512,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415791.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415791
57,138415817,CCCCCCC(C(=O)O)N(CC1=CC(=CC=C1)F)C2=CC=C(C=C2)C,-14.248289,-58.89392,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415817.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415817
58,77074125,CC1=CC(=CC(=C1)N(C)CC=C(C)C(=O)OC)C,35.578857,-47.741684,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/77074125.png,https://pubchem.ncbi.nlm.nih.gov/compound/77074125
59,117444333,C1CCC(C1)(C2=CC(=C(C=C2)N3CCCC3)F)C(=O)O,38.696854,6.585775,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/117444333.png,https://pubchem.ncbi.nlm.nih.gov/compound/117444333
60,82317102,CC(CN(CC(=O)O)C1=CC=C(C=C1)C(C)(C)C)C(=O)O,4.667745,-54.765488,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317102.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317102
61,82317111,CC(CN(CC(=O)O)C1=CC=CC=C1C(F)(F)F)C(=O)O,3.3770308,-53.40337,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317111.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317111
62,45092689,C1CC2=NC3=CC=CC=C3C2=C1,-8.632022,10.012804,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/45092689.png,https://pubchem.ncbi.nlm.nih.gov/compound/45092689
63,65539934,CC1=C(C=CC=C1F)NCCOC2=CC=C(C=C2)OC,-39.159504,-56.41614,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/65539934.png,https://pubchem.ncbi.nlm.nih.gov/compound/65539934
64,82317357,CC1=CC=C(C=C1)CN(CCC(=O)O)C2=CC=CC=C2F,-6.3390656,-72.48186,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317357.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317357
65,82317405,CC1=C(C(=CC=C1)N(CCC(=O)O)CC2=CC=C(C=C2)F)C,-6.2032504,-71.301254,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317405.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317405
66,82317427,CC(CN(CC1=CC=C(C=C1)F)C2=CC(=CC=C2)F)C(=O)O,2.463885,-56.22891,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317427.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317427
67,82317431,CC(CN(CC1=CC=C(C=C1)F)C2=CC=CC=C2)C(=O)O,2.4995837,-56.46124,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317431.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317431
68,82317445,CCC1=CC=CC=C1N(CCC(=O)O)CC2=CC=CC=C2F,-3.6567295,-69.31568,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317445.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317445
69,82317459,CC1=CC(=C(C=C1)N(CCC(=O)O)CC2=CC=CC=C2F)C,-5.3419876,-73.62679,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317459.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317459
70,82317467,CC(CN(CC1=CC=CC=C1F)C2=CC=C(C=C2)F)C(=O)O,5.720562,-54.40923,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317467.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317467
71,82317507,CC1=CC=CC=C1CN(CC(C)C(=O)O)C2=CC=CC=C2F,5.9245853,-54.503735,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317507.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317507
72,116396238,CC1C(SCCN1C2=C(C(=CC=C2)F)C(=N)N)C,7.1523347,31.896286,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/116396238.png,https://pubchem.ncbi.nlm.nih.gov/compound/116396238
73,27267323,CCN(CC)C1=CC=C(C=C1)CN2CCCC(C2)C(=O)OCC,47.46213,-36.69999,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/27267323.png,https://pubchem.ncbi.nlm.nih.gov/compound/27267323
74,82841866,CCCC(C(=O)OCC)N1CCC2=CC=CC=C21,52.305542,-28.997498,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82841866.png,https://pubchem.ncbi.nlm.nih.gov/compound/82841866
75,15733018,CN1C2=CC=CC=C2C(=O)C=C1CO,-37.10681,21.227127,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/15733018.png,https://pubchem.ncbi.nlm.nih.gov/compound/15733018
76,105910634,CN(C)CCOCCNC(=O)CC1CNC2=CC=CC=C12,63.67597,-36.29538,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/105910634.png,https://pubchem.ncbi.nlm.nih.gov/compound/105910634
77,10490312,CC(C)(C)C1=NC2=CC=CC=C2C13CCCCC3,-8.824928,7.291504,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/10490312.png,https://pubchem.ncbi.nlm.nih.gov/compound/10490312
78,105910736,CN(C)CCOCCNC(=O)C1CCNC2=CC=CC=C12,63.430256,-36.276585,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/105910736.png,https://pubchem.ncbi.nlm.nih.gov/compound/105910736
79,82317822,CCCN(CCC(=O)O)C1=CC=C(C=C1)C(F)(F)F,-3.6458697,-66.77143,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317822.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317822
80,82317882,CCCN(CC(C)C(=O)O)C1=CC=CC=C1C,3.3468485,-50.11336,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317882.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317882
81,82317892,CCCN(CC(C)C(=O)O)C1=CC=CC=C1C(C)C,3.3311853,-50.15677,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317892.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317892
82,82317894,CCCN(CC(C)C(=O)O)C1=CC=CC=C1C(F)(F)F,1.6571618,-51.63438,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317894.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317894
83,4695,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=CC(=C3)S(=O)(=O)O)S(=O)(=O)O,7.285747,-13.165003,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/4695.png,https://pubchem.ncbi.nlm.nih.gov/compound/4695
84,82317921,CCCN(CC(C)C(=O)O)C1=CC=C(C=C1)C(F)(F)F,1.0294763,-51.492428,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82317921.png,https://pubchem.ncbi.nlm.nih.gov/compound/82317921
85,77075081,CCN(CC=C(C)C(=O)OC)C1=CC=CC(=C1)C,35.844055,-47.592525,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/77075081.png,https://pubchem.ncbi.nlm.nih.gov/compound/77075081
86,138941070,CCCC1=CC=C(C=C1)N(CC(OCC)OCC)C(CC)C2=CC=CC=C2,-40.757324,-44.89261,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138941070.png,https://pubchem.ncbi.nlm.nih.gov/compound/138941070
87,4761,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2,-45.82551,11.083819,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/4761.png,https://pubchem.ncbi.nlm.nih.gov/compound/4761
88,105910938,CN(C)CCOCCNC(=O)C1(CC1)C2=CC=C(C=C2)N,63.047844,-36.646164,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/105910938.png,https://pubchem.ncbi.nlm.nih.gov/compound/105910938
89,82318013,CCCCN(CCC(=O)O)C1=CC=C(C=C1)C(F)(F)F,-4.137517,-66.282036,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/82318013.png,https://pubchem.ncbi.nlm.nih.gov/compound/82318013
90,77075169,CCN(CC=C(C)C(=O)OC)C1=CC=CC=C1C,36.69282,-48.287018,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/77075169.png,https://pubchem.ncbi.nlm.nih.gov/compound/77075169
91,132649780,CCC(C(=O)O)N1C2=C(C=C(C=C2)F)C(CC1(C)C)C,45.817097,10.451369,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/132649780.png,https://pubchem.ncbi.nlm.nih.gov/compound/132649780
92,132649781,CC1CC(N(C2=C1C=C(C=C2)F)C(C)C(=O)OC)(C)C,51.51896,-23.344992,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/132649781.png,https://pubchem.ncbi.nlm.nih.gov/compound/132649781
93,4939,CC[N+](C)(CC)CCC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N,-50.412407,3.1768632,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/4939.png,https://pubchem.ncbi.nlm.nih.gov/compound/4939
94,55055218,CC1=CC(=CC=C1)N(C)CC2(CCCC2)C(=O)O,37.55092,-8.15257,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/55055218.png,https://pubchem.ncbi.nlm.nih.gov/compound/55055218
95,55055219,CCC(C)(CN(CC)C1=CC=C(C=C1)C)C(=O)O,-4.5757856,-42.813778,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/55055219.png,https://pubchem.ncbi.nlm.nih.gov/compound/55055219
96,5014,CC1=C(C(=CC=C1)C)NC(=O)C[N+](C)(C)C,10.917339,-28.9648,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/5014.png,https://pubchem.ncbi.nlm.nih.gov/compound/5014
97,138941338,CCC(C1=CC=CC=C1)N(CC(=O)CC(=O)OCC)C2=CC=CC=C2C,46.345097,-55.61431,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138941338.png,https://pubchem.ncbi.nlm.nih.gov/compound/138941338
98,132649975,CCCC(C(=O)O)N1C2=C(C=C(C=C2)F)C(=CC1(C)C)C,46.926163,9.638326,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/132649975.png,https://pubchem.ncbi.nlm.nih.gov/compound/132649975
