,CID,smiles
165,153618019,C[Si](C)(C)OP(=O)(CCOC(=O)C=C)O[Si](C)(C)C
166,23070318,C=CC(=O)OC1=CC=C(C=C1)I
167,66586225,C=CC(=O)O.C1CC(=O)N(C1=O)O
168,88606325,CCCC(O)OC(=O)C=C.C=CCOCCO
169,160433804,C=CCOC(=O)CCC(=O)OCCOC(=O)C=C.C=CCBr.C=CC(=O)OCCOC(=O)CCC(=O)O
170,161482403,CCC[Sn+2]CCC.C=CC(=O)[O-].C=CC(=O)[O-]
171,142608052,C=CC(=O)OC(CCCCCCCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
172,142608053,C=CC(=O)OC(CCCCCCCCCCCCCCCO)(O)OC(=O)C=C
173,142608054,C=CC(=O)OC(CCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
174,142608058,C=CC(=O)OC(CCCCCCCCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
175,142608060,C=CC(=O)OC(CCCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
176,142608061,C=CC(=O)OC(CCCCCCCCCCCCO)(O)OC(=O)C=C
177,142608064,C=CC(=O)OC(CCCCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
178,142608065,C=CC(=O)OC(CCCCCCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
179,142608057,C=CC(=O)OC(CCCCCCCCCCCCCCCCCO)(O)OC(=O)C=C
180,141821665,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)OCC1COC(=O)O1
181,146540265,C[N+](C)(CCOC(=O)C=C)CCP(=O)(O)O
182,141035248,CCC(CCOC(=O)C=C)N(CC)CC
183,146540280,C[N+](C)(CCCCP(=O)(O)O)CCOC(=O)C=C
184,60032760,C=CC(O)OCC(COC(=O)C=C)O
185,146540284,C[N+](C)(CCCP(=O)(O)O)CCOC(=O)C=C
186,154928918,CC(=C(C)C(=O)O)C.C=CC(=O)OCC(CO)O
187,11536153,C=CC1=C(C=CC(=C1)Br)OC(=O)C=C
188,23070520,C=CC(=O)OC(COC1=CC=CC=C1Br)COC2=CC=CC=C2Br
189,141297466,CCC(OC(=O)C=C)[Si](C)(OCC)OC(C)C
